Program,Heap_Used_Bytes,Available_Memory_Bytes,Total_Memory_Bytes,Memory_Utilization_Percent,Timestamp_Cycles
malloc-large.ke,6610944,529981440,536928256,1.23,35130313555
malloc-large.ke,7024640,529567744,536928256,1.31,35130325779
malloc-large.ke,6623232,529969152,536928256,1.23,35130328252
malloc-large.ke,6807552,529784832,536928256,1.27,35130332236
malloc-large.ke,6561792,530030592,536928256,1.22,35130333938
malloc-large.ke,6811648,529780736,536928256,1.27,35130340328
malloc-large.ke,6488064,530104320,536928256,1.21,35130342387
malloc-large.ke,6852608,529739776,536928256,1.28,35130351064
malloc-large.ke,6602752,529989632,536928256,1.23,35130353080
malloc-large.ke,7045120,529547264,536928256,1.31,35130364379
malloc-large.ke,6885376,529707008,536928256,1.28,35130366153
malloc-large.ke,7315456,529276928,536928256,1.36,35130375098
malloc-large.ke,6848512,529743872,536928256,1.28,35130377716
malloc-large.ke,7241728,529350656,536928256,1.35,35130391045
malloc-large.ke,6828032,529764352,536928256,1.27,35130510543
malloc-large.ke,7299072,529293312,536928256,1.36,35130522457
malloc-large.ke,6914048,529678336,536928256,1.29,35130524423
malloc-large.ke,7278592,529313792,536928256,1.36,35130532696
malloc-large.ke,6836224,529756160,536928256,1.27,35130535518
malloc-large.ke,7168000,529424384,536928256,1.34,35130544175
malloc-large.ke,6823936,529768448,536928256,1.27,35130546339
malloc-large.ke,7090176,529502208,536928256,1.32,35130557684
malloc-large.ke,6688768,529903616,536928256,1.25,35130561779
malloc-large.ke,7081984,529510400,536928256,1.32,35130573990
malloc-large.ke,6750208,529842176,536928256,1.26,35130575944
malloc-large.ke,7098368,529494016,536928256,1.32,35130584870
malloc-large.ke,6750208,529842176,536928256,1.26,35130586785
malloc-large.ke,7069696,529522688,536928256,1.32,35130593099
malloc-large.ke,6676480,529915904,536928256,1.24,35130595091
malloc-large.ke,7139328,529453056,536928256,1.33,35130605410
malloc-large.ke,6922240,529670144,536928256,1.29,35130727246
malloc-large.ke,7397376,529195008,536928256,1.38,35130739565
malloc-large.ke,7213056,529379328,536928256,1.34,35130741056
malloc-large.ke,7458816,529133568,536928256,1.39,35130746758
malloc-large.ke,7213056,529379328,536928256,1.34,35130748285
malloc-large.ke,7507968,529084416,536928256,1.40,35130754265
malloc-large.ke,7143424,529448960,536928256,1.33,35130756204
malloc-large.ke,7450624,529141760,536928256,1.39,35130763425
malloc-large.ke,7057408,529534976,536928256,1.31,35130765280
malloc-large.ke,7331840,529260544,536928256,1.37,35130774453
malloc-large.ke,7110656,529481728,536928256,1.32,35130776182
malloc-large.ke,7618560,528973824,536928256,1.42,35130789189
malloc-large.ke,7344128,529248256,536928256,1.37,35130792363
malloc-large.ke,7806976,528785408,536928256,1.45,35130807586
malloc-large.ke,7512064,529080320,536928256,1.40,35130812089
malloc-large.ke,7847936,528744448,536928256,1.46,35130820424
malloc-large.ke,7462912,529129472,536928256,1.39,35130970191
malloc-large.ke,7671808,528920576,536928256,1.43,35130975733
malloc-large.ke,7208960,529383424,536928256,1.34,35130978159
malloc-large.ke,7458816,529133568,536928256,1.39,35130985532
malloc-large.ke,7221248,529371136,536928256,1.34,35130987233
malloc-large.ke,7704576,528887808,536928256,1.43,35131001532
malloc-large.ke,7233536,529358848,536928256,1.35,35131003900
malloc-large.ke,7491584,529100800,536928256,1.40,35131011673
malloc-large.ke,7225344,529367040,536928256,1.35,35131013276
malloc-large.ke,7385088,529207296,536928256,1.38,35131016316
malloc-large.ke,6909952,529682432,536928256,1.29,35131018581
malloc-large.ke,7352320,529240064,536928256,1.37,35131030739
malloc-large.ke,6955008,529637376,536928256,1.30,35131033682
malloc-large.ke,7208960,529383424,536928256,1.34,35131040454
malloc-large.ke,6950912,529641472,536928256,1.29,35131042183
malloc-large.ke,7364608,529227776,536928256,1.37,35131051083
malloc-large.ke,7110656,529481728,536928256,1.32,35131181545
malloc-large.ke,7356416,529235968,536928256,1.37,35131189577
malloc-large.ke,6926336,529666048,536928256,1.29,35131191475
malloc-large.ke,7307264,529285120,536928256,1.36,35131199510
malloc-large.ke,6942720,529649664,536928256,1.29,35131201335
malloc-large.ke,7122944,529469440,536928256,1.33,35131205500
malloc-large.ke,6914048,529678336,536928256,1.29,35131206959
malloc-large.ke,7163904,529428480,536928256,1.33,35131211839
malloc-large.ke,6701056,529891328,536928256,1.25,35131213636
malloc-large.ke,7036928,529555456,536928256,1.31,35131221029
malloc-large.ke,6656000,529936384,536928256,1.24,35131222854
malloc-large.ke,6819840,529772544,536928256,1.27,35131227115
malloc-large.ke,6639616,529952768,536928256,1.24,35131228632
malloc-large.ke,7012352,529580032,536928256,1.31,35131235535
malloc-large.ke,6639616,529952768,536928256,1.24,35131237434
malloc-large.ke,7004160,529588224,536928256,0.00,35131244081
malloc-large.ke,6520832,530071552,536928256,1.21,35131355622
malloc-large.ke,6881280,529711104,536928256,1.28,35131364960
malloc-large.ke,6467584,530124800,536928256,1.20,35131366862
malloc-large.ke,6844416,529747968,536928256,1.27,35131375559
malloc-large.ke,6496256,530096128,536928256,1.21,35131377290
malloc-large.ke,6656000,529936384,536928256,1.24,35131382151
malloc-large.ke,6283264,530309120,536928256,1.17,35131384025
malloc-large.ke,6451200,530141184,536928256,1.20,35131389061
malloc-large.ke,6074368,530518016,536928256,1.13,35131390713
malloc-large.ke,6492160,530100224,536928256,1.21,35131400343
malloc-large.ke,6131712,530460672,536928256,1.14,35131402138
malloc-large.ke,6295552,530296832,536928256,1.17,35131408024
malloc-large.ke,5853184,530739200,536928256,1.09,35131410067
malloc-large.ke,6148096,530444288,536928256,1.15,35131417430
malloc-large.ke,5812224,530780160,536928256,1.08,35131419611
malloc-large.ke,6217728,530374656,536928256,0.00,35131429642
malloc-large.ke,5730304,530862080,536928256,1.07,35131526328
malloc-large.ke,6135808,530456576,536928256,1.14,35131536766
malloc-large.ke,5890048,530702336,536928256,1.10,35131538885
malloc-large.ke,6172672,530419712,536928256,1.15,35131544849
malloc-large.ke,5754880,530837504,536928256,1.07,35131546881
malloc-large.ke,6148096,530444288,536928256,1.15,35131555280
malloc-large.ke,5840896,530751488,536928256,1.09,35131557256
malloc-large.ke,6348800,530243584,536928256,1.18,35131567548
malloc-large.ke,5840896,530751488,536928256,1.09,35131569552
malloc-large.ke,6266880,530325504,536928256,1.17,35131579776
malloc-large.ke,5873664,530718720,536928256,1.09,35131583378
malloc-large.ke,6168576,530423808,536928256,1.15,35131597869
malloc-large.ke,5873664,530718720,536928256,1.09,35131600390
malloc-large.ke,6184960,530407424,536928256,1.15,35131609141
malloc-large.ke,5935104,530657280,536928256,1.11,35131610907
malloc-large.ke,6307840,530284544,536928256,0.00,35131621267
malloc-large.ke,6148096,530444288,536928256,1.15,35131791316
malloc-large.ke,6549504,530042880,536928256,1.22,35131803163
malloc-large.ke,6299648,530292736,536928256,1.17,35131804977
malloc-large.ke,6471680,530120704,536928256,1.21,35131809692
malloc-large.ke,6299648,530292736,536928256,1.17,35131811257
malloc-large.ke,6688768,529903616,536928256,1.25,35131823118
malloc-large.ke,6524928,530067456,536928256,1.22,35131825008
malloc-large.ke,7032832,529559552,536928256,1.31,35131840032
malloc-large.ke,6709248,529883136,536928256,1.25,35131842965
malloc-large.ke,6975488,529616896,536928256,1.30,35131849431
malloc-large.ke,6811648,529780736,536928256,1.27,35131851003
malloc-large.ke,6983680,529608704,536928256,1.30,35131856150
malloc-large.ke,6811648,529780736,536928256,1.27,35131858312
malloc-large.ke,7315456,529276928,536928256,1.36,35131870249
malloc-large.ke,6807552,529784832,536928256,1.27,35131872756
malloc-large.ke,7041024,529551360,536928256,0.00,35131879716
malloc-large.ke,6746112,529846272,536928256,1.26,35132044436
malloc-large.ke,6926336,529666048,536928256,1.29,35132050164
malloc-large.ke,6500352,530092032,536928256,1.21,35132052380
malloc-large.ke,6705152,529887232,536928256,1.25,35132058890
malloc-large.ke,6332416,530259968,536928256,1.18,35132060955
malloc-large.ke,58052608,478539776,536928256,10.81,35132781092
malloc-large.ke,57819136,478773248,536928256,10.77,35132783373
malloc-large.ke,58290176,478302208,536928256,10.86,35132793096
malloc-large.ke,57970688,478621696,536928256,10.80,35132794809
malloc-large.ke,58351616,478240768,536928256,10.87,35132805040
malloc-large.ke,58085376,478507008,536928256,10.82,35132806861
malloc-large.ke,58466304,478126080,536928256,10.89,35132817234
malloc-large.ke,58286080,478306304,536928256,10.86,35132818848
malloc-large.ke,58626048,477966336,536928256,10.92,35132824211
malloc-large.ke,58384384,478208000,536928256,10.87,35132825661
malloc-large.ke,58863616,477728768,536928256,0.00,35132868558
malloc-large.ke,58527744,478064640,536928256,10.90,35134052505
malloc-large.ke,58998784,477593600,536928256,10.99,35134061870
malloc-large.ke,58830848,477761536,536928256,10.96,35134063647
malloc-large.ke,59179008,477413376,536928256,11.02,35134069476
malloc-large.ke,58814464,477777920,536928256,10.95,35134071140
malloc-large.ke,59326464,477265920,536928256,11.05,35134079776
malloc-large.ke,59015168,477577216,536928256,10.99,35134081853
malloc-large.ke,59326464,477265920,536928256,11.05,35134088736
malloc-large.ke,59015168,477577216,536928256,10.99,35134090426
malloc-large.ke,59359232,477233152,536928256,11.06,35134098478
malloc-large.ke,58970112,477622272,536928256,10.98,35134100638
malloc-large.ke,59179008,477413376,536928256,11.02,35134105970
malloc-large.ke,58839040,477753344,536928256,10.96,35134107928
malloc-large.ke,59019264,477573120,536928256,10.99,35134111771
malloc-large.ke,58675200,477917184,536928256,10.93,35134113976
malloc-large.ke,58822656,477769728,536928256,10.96,35134239755
malloc-large.ke,58351616,478240768,536928256,10.87,35134242809
malloc-large.ke,58806272,477786112,536928256,10.95,35134251217
malloc-large.ke,58335232,478257152,536928256,10.86,35134253438
malloc-large.ke,58552320,478040064,536928256,10.91,35134259512
malloc-large.ke,58392576,478199808,536928256,10.88,35134261045
malloc-large.ke,58593280,477999104,536928256,10.91,35134267168
malloc-large.ke,58445824,478146560,536928256,10.89,35134268622
malloc-large.ke,58744832,477847552,536928256,10.94,35134276089
malloc-large.ke,58290176,478302208,536928256,10.86,35134278113
malloc-large.ke,58597376,477995008,536928256,10.91,35134284922
malloc-large.ke,58249216,478343168,536928256,10.85,35134286933
malloc-large.ke,58454016,478138368,536928256,10.89,35134291086
malloc-large.ke,57946112,478646272,536928256,10.79,35134293370
malloc-large.ke,58376192,478216192,536928256,10.87,35134303814
malloc-large.ke,58093568,478498816,536928256,0.00,35134305660
malloc-large.ke,58580992,478011392,536928256,10.91,35134426111
malloc-large.ke,58150912,478441472,536928256,10.83,35134428461
malloc-large.ke,58572800,478019584,536928256,10.91,35134437971
malloc-large.ke,58167296,478425088,536928256,10.83,35134440573
malloc-large.ke,58654720,477937664,536928256,10.92,35134451624
malloc-large.ke,58253312,478339072,536928256,10.85,35134453782
malloc-large.ke,58552320,478040064,536928256,10.91,35134460142
malloc-large.ke,58073088,478519296,536928256,10.82,35134462219
malloc-large.ke,58437632,478154752,536928256,10.88,35134472001
malloc-large.ke,58236928,478355456,536928256,10.85,35134473804
malloc-large.ke,58400768,478191616,536928256,10.88,35134478417
malloc-large.ke,57978880,478613504,536928256,10.80,35134480626
malloc-large.ke,58421248,478171136,536928256,10.88,35134495496
malloc-large.ke,58056704,478535680,536928256,10.81,35134498274
malloc-large.ke,58413056,478179328,536928256,10.88,35134507393
malloc-large.ke,58195968,478396416,536928256,0.00,35134509084
malloc-large.ke,58339328,478253056,536928256,10.87,35134645052
malloc-large.ke,57827328,478765056,536928256,10.77,35134647414
malloc-large.ke,58273792,478318592,536928256,10.85,35134656078
malloc-large.ke,6553600,530038784,536928256,1.22,35134746226
malloc-large.ke,6975488,529616896,536928256,1.30,35134757180
malloc-large.ke,6529024,530063360,536928256,1.22,35134759210
malloc-large.ke,6938624,529653760,536928256,1.29,35134766915
malloc-large.ke,6733824,529858560,536928256,1.25,35134768454
malloc-large.ke,7012352,529580032,536928256,1.31,35134774595
malloc-large.ke,6606848,529985536,536928256,1.23,35134776629
malloc-large.ke,6885376,529707008,536928256,1.28,35134783057
malloc-large.ke,6381568,530210816,536928256,1.19,35134785178
malloc-large.ke,6807552,529784832,536928256,1.27,35134794050
malloc-large.ke,6508544,530083840,536928256,1.21,35134797823
malloc-large.ke,7004160,529588224,536928256,1.30,35134809976
malloc-large.ke,6840320,529752064,536928256,0.00,35134811540
malloc-large.ke,7290880,529301504,536928256,1.36,35135075912
malloc-large.ke,7110656,529481728,536928256,1.32,35135078001
malloc-large.ke,7614464,528977920,536928256,1.42,35135090731
malloc-large.ke,7409664,529182720,536928256,1.38,35135092762
malloc-large.ke,7684096,528908288,536928256,1.43,35135098152
malloc-large.ke,7262208,529330176,536928256,1.35,35135100494
malloc-large.ke,7397376,529195008,536928256,1.38,35135103758
malloc-large.ke,6893568,529698816,536928256,1.28,35135105943
malloc-large.ke,7376896,529215488,536928256,1.37,35135117384
malloc-large.ke,6864896,529727488,536928256,1.28,35135119494
malloc-large.ke,7127040,529465344,536928256,1.33,35135124180
malloc-large.ke,6852608,529739776,536928256,1.28,35135125929
malloc-large.ke,7319552,529272832,536928256,1.36,35135133315
malloc-large.ke,6893568,529698816,536928256,1.28,35135135506
malloc-large.ke,7053312,529539072,536928256,1.31,35135139136
malloc-large.ke,6746112,529846272,536928256,0.00,35135140763
